3: 97 29 | 2 104
45: 97 10 | 2 73
114: 44 97 | 90 2
78: 2 95 | 97 32
7: 97 64 | 2 119
118: 97 81 | 2 58
64: 97 29 | 2 14
106: 53 121
4: 2 103 | 97 55
54: 2 53 | 97 44
58: 33 97 | 130 2
91: 104 97
102: 104 97 | 83 2
128: 2 59 | 97 3
79: 98 2 | 124 97
117: 2 65 | 97 92
1: 75 2 | 115 97
40: 2 96 | 97 119
8: 42
92: 102 97 | 57 2
97: "a"
93: 2 66 | 97 103
36: 2 104 | 97 32
2: "b"
108: 43 2 | 68 97
46: 44 2 | 90 97
31: 97 5 | 2 132
110: 14 2 | 90 97
61: 38 2 | 9 97
10: 63 2 | 34 97
32: 2 2 | 97 121
11: 42 31
103: 121 121
131: 75 97 | 60 2
74: 2 112 | 97 47
20: 93 2 | 69 97
53: 97 2 | 97 97
23: 125 121
9: 97 66 | 2 25
101: 83 97 | 95 2
35: 25 2 | 104 97
76: 97 55 | 2 104
125: 83 2 | 32 97
22: 59 97 | 76 2
127: 6 97 | 55 2
126: 97 119 | 2 17
113: 59 97 | 35 2
81: 46 2 | 72 97
104: 2 2 | 97 2
100: 25 2 | 95 97
95: 97 2
132: 97 27 | 2 45
107: 97 90 | 2 32
34: 98 97 | 50 2
33: 2 95 | 97 83
119: 32 97 | 66 2
90: 2 2 | 97 97
77: 126 2 | 22 97
6: 2 97
14: 97 2 | 2 121
94: 2 110 | 97 129
21: 56 97 | 105 2
65: 2 96 | 97 98
122: 2 71 | 97 86
87: 101 97 | 91 2
15: 107 97 | 120 2
120: 103 2 | 66 97
56: 128 2 | 20 97
129: 2 66 | 97 83
41: 97 48 | 2 122
13: 39 97 | 26 2
30: 97 88 | 2 54
84: 55 97 | 53 2
86: 84 2 | 59 97
96: 55 2 | 104 97
83: 97 121 | 2 97
50: 53 97 | 95 2
19: 2 70 | 97 78
121: 2 | 97
57: 53 2 | 83 97
37: 6 97 | 6 2
68: 97 53 | 2 83
112: 97 23 | 2 19
66: 2 97 | 2 2
49: 97 90 | 2 103
80: 2 97 | 97 97
85: 83 97 | 55 2
12: 2 35 | 97 51
116: 97 67 | 2 77
123: 4 2 | 85 97
82: 21 2 | 111 97
105: 30 97 | 87 2
72: 25 97 | 95 2
115: 104 2 | 29 97
63: 97 37 | 2 36
42: 24 2 | 82 97
0: 8 11
70: 2 80 | 97 25
5: 2 74 | 97 116
52: 16 97 | 94 2
62: 35 97 | 114 2
18: 123 2 | 61 97
25: 97 97
88: 83 97 | 66 2
124: 2 6 | 97 80
89: 114 97 | 100 2
44: 97 2 | 2 97
71: 49 97 | 106 2
38: 2 104 | 97 90
75: 53 2 | 104 97
98: 53 2 | 25 97
69: 97 95 | 2 95
73: 2 1 | 97 7
24: 41 97 | 109 2
48: 2 40 | 97 113
39: 103 2 | 104 97
67: 2 15 | 97 62
55: 2 2
47: 2 79 | 97 108
51: 6 2 | 95 97
17: 95 2 | 90 97
59: 53 97 | 66 2
28: 2 12 | 97 131
27: 2 52 | 97 28
29: 97 97 | 2 121
16: 4 2 | 127 97
109: 2 117 | 97 18
43: 104 97 | 6 2
99: 97 89 | 2 13
130: 83 121
111: 99 2 | 118 97
60: 97 44 | 2 25
26: 121 44
